KANAL;SATELIT;POLARIZACIJA;STUPNJEVI;FREKVENCIJA;SID;PAKET;DVB;MODULACIJA;SYMBOL_RATE;FEC;TID;ONID;ENKRIPCIJA;TIP
RTL 9 HD;Astra 1N;V;19.2°E;12285.00;17035;BisCanalSatNC NuméricableOrange;DVB-S2;8PSK;"""2/3""";29700;TID:1094;NID:1;Mediaguard 3Nagravision 3Viaccess 3.0Viaccess 4.0;tv
RTL Television  ;Astra 1L;H;19.2°E;12187.50;12003;CBC;DVB-S;QPSK;"""3/4""";27500;TID:1089;NID:1;Clear;tv
Super RTL HD;Eutelsat 9B;H;9.0°E;12015.00;406;KabelkioskSky Deutschland;DVB-S2;8PSK;"""2/3""";27500;TID:6500;NID:156;ConaxVideoGuard;tv
RTL Nitro HD;Astra 1N;H;19.2°E;11082.25;11951;HD +Sky Deutschland;DVB-S2;8PSK;"""3/4""";22000;TID:1041;NID:1;Nagravision 3VideoGuard;tv
RTL 2  ;Astra 1L;H;19.2°E;12187.50;12020;CBC;DVB-S;QPSK;"""3/4""";27500;TID:1089;NID:1;Clear;tv
RTL 2 Hungary;Hellas Sat 2;V;39.0°E;10971.00;270;Dolce TV;DVB-S;QPSK;"""7/8""";30000;TID:1;NID:28;BulCryptVideoGuard;tv
RTL Lounge  ;Astra 3B;V;23.5°E;11856.00;7042;Canal Digitaal;DVB-S2;8PSK;"""2/3""";29900;TID:3208;NID:3;Mediaguard 3Nagravision 3Viaccess 5.0;tv
RTL Television  ;Türksat 4A;V;42.0°E;11802.00;16107;Platformturk;DVB-S2;8PSK;"""3/4""";17500;TID:43103;NID:104;Irdeto 2;tv
RTL Schweiz;Astra 1L;H;19.2°E;12226.50;28825;CBC;DVB-S;QPSK;"""3/4""";27500;TID:1091;NID:1;Clear;tv
RTL Passion Germany;Astra 1N;H;19.2°E;12031.50;29;KabelkioskSky Deutschland;DVB-S2;QPSK;"""9/10""";27500;TID:4;NID:133;VideoGuard;tv
RTL Z;Astra 3B;V;23.5°E;11856.00;7058;Canal Digitaal;DVB-S2;8PSK;"""2/3""";29900;TID:3208;NID:3;Mediaguard 3Nagravision 3Viaccess 5.0;tv
RTL Österreich  ;Astra 1L;H;19.2°E;12226.50;28800;RTL;DVB-S;QPSK;"""3/4""";27500;TID:1091;NID:1;Clear;tv
RTL 9  ;Badr 5;V;26.0°E;10810.00;603;MyHD;DVB-S2;8PSK;"""3/4""";27500;TID:26;NID:2048;ConaxIrdeto 2;tv
RTL Klub HD;Amos 3;V;4.0°W;10842.00;1304;T-Home;DVB-S2;8PSK;"""3/4""";30000;TID:3;NID:100;Conax;tv
RTL Hrvatska  ;Eutelsat 16A;H;16.0°E;11678.25;291;Max TV;DVB-S2;8PSK;"""3/4""";30000;TID:3;NID:64;ConaxNagravision 3;tv
RTL Television  ;Intelsat 12 (IS-12);V;45.0°E;11673.00;323;Vivacom;DVB-S2;8PSK;"""3/4""";30000;TID:4;NID:213;VideoGuard;tv
RTL Television  ;Amos 3;V;4.0°W;10889.00;1613;T-Home;DVB-S2;8PSK;"""3/4""";30000;TID:6;NID:100;Conax;tv
